nom,description,domaine,besoin,gratuit,lien
ChatGPT,Assistant conversationnel pour rédiger expliquer résumer et coder en langage naturel,Tous,rédaction explication code résumé traduction,freemium,https://chat.openai.com
Claude,Assistant IA avancé pour analyse rédaction recherche et programmation complexe,Tous,rédaction analyse code recherche résumé,freemium,https://claude.ai
Gemini,Assistant Google multimodal pour texte image et recherche intégrée,Tous,rédaction image recherche traduction résumé,freemium,https://gemini.google.com
Copilot Microsoft,Assistant IA intégré à Microsoft 365 pour rédaction et productivité,Tous,rédaction résumé présentation tableur email,freemium,https://copilot.microsoft.com
Perplexity AI,Moteur de recherche IA avec sources citées pour répondre à des questions précises,Tous,recherche veille scientifique questions réponses,freemium,https://www.perplexity.ai
GitHub Copilot,Assistant de programmation IA intégré dans VS Code pour autocomplétion et génération de code,Informatique,code programmation débogage autocomplétion,payant,https://github.com/features/copilot
Tabnine,Outil de complétion de code IA compatible avec plusieurs langages et éditeurs,Informatique,code autocomplétion programmation,freemium,https://www.tabnine.com
Replit AI,Environnement de développement en ligne avec assistant IA pour coder et déployer,Informatique,code programmation déploiement collaboration,freemium,https://replit.com
Codeium,Extension IA gratuite pour autocomplétion et génération de code dans l'éditeur,Informatique,code autocomplétion programmation débogage,gratuit,https://codeium.com
Cursor,Éditeur de code IA permettant de modifier du code en langage naturel,Informatique,code programmation refactoring débogage,freemium,https://cursor.sh
Blackbox AI,Assistant IA spécialisé dans la recherche et la génération de code,Informatique,code recherche programmation débogage,freemium,https://www.useblackbox.io
DeepL,Outil de traduction automatique très précis pour textes académiques et professionnels,Tous,traduction langues étrangères rédaction,freemium,https://www.deepl.com
Grammarly,Correcteur grammatical et stylistique IA pour améliorer la qualité des écrits en anglais,Tous,correction rédaction amélioration style anglais,freemium,https://www.grammarly.com
QuillBot,Paraphraseur et résumeur de texte IA pour reformuler et améliorer les écrits,Tous,paraphrase résumé rédaction reformulation,freemium,https://quillbot.com
Wordtune,Outil IA pour réécrire et améliorer les phrases en conservant le sens original,Tous,rédaction reformulation amélioration style,freemium,https://www.wordtune.com
Jenni AI,Assistant de rédaction académique IA avec gestion des citations et références,Tous,rédaction académique citation recherche thèse,freemium,https://jenni.ai
Notion AI,Assistant IA intégré à Notion pour rédiger résumer et organiser des notes,Tous,rédaction organisation résumé notes productivité,freemium,https://www.notion.so
Elicit,Outil de recherche IA pour trouver et analyser des articles scientifiques,Médecine Biologie Recherche,recherche scientifique articles résumé analyse,freemium,https://elicit.org
Consensus,Moteur de recherche IA qui synthétise les résultats de la recherche scientifique,Médecine Biologie Recherche,recherche scientifique synthèse articles preuves,freemium,https://consensus.app
Scite,Outil IA pour vérifier comment les articles scientifiques sont cités et critiqués,Médecine Biologie Recherche,citation articles vérification recherche scientifique,freemium,https://scite.ai
Research Rabbit,Outil de visualisation et découverte de la littérature scientifique,Recherche,recherche scientifique articles découverte cartographie,gratuit,https://www.researchrabbit.ai
Connected Papers,Outil de visualisation graphique des liens entre articles scientifiques,Recherche,recherche articles connexes cartographie littérature,freemium,https://www.connectedpapers.com
SciSpace,Assistant IA pour lire comprendre et expliquer des articles scientifiques en PDF,Médecine Biologie Recherche,lecture articles PDF explication recherche scientifique,freemium,https://typeset.io
Semantic Scholar,Moteur de recherche académique IA gratuit pour trouver des articles scientifiques,Recherche,recherche articles académiques citations,gratuit,https://www.semanticscholar.org
Midjourney,Générateur d'images IA par description textuelle de haute qualité artistique,Architecture Design Arts,image génération visuel illustration design,payant,https://www.midjourney.com
DALL-E 3,Générateur d'images IA intégré à ChatGPT pour créer des visuels à partir de texte,Architecture Design Arts,image génération visuel illustration créativité,freemium,https://openai.com/dall-e-3
Stable Diffusion,Générateur d'images IA open source pour créer des illustrations et designs,Architecture Design Arts,image génération visuel design illustration,gratuit,https://stability.ai
Canva AI,Outil de design graphique avec fonctionnalités IA pour créer des présentations et visuels,Architecture Design Arts Marketing,design présentation infographie image création,freemium,https://www.canva.com
Adobe Firefly,Suite d'outils IA créatifs d'Adobe pour générer des images et effets graphiques,Architecture Design Arts,image design génération visuel créativité,freemium,https://firefly.adobe.com
RunwayML,Outil IA pour la génération et l'édition de vidéos par intelligence artificielle,Cinéma Multimédia,vidéo génération édition créativité multimédia,freemium,https://runwayml.com
Synthesia,Outil de création de vidéos avec avatars IA pour présentations et formations,Marketing Communication,vidéo présentation avatar formation communication,payant,https://www.synthesia.io
ElevenLabs,Outil de synthèse vocale IA de haute qualité pour créer des voix réalistes,Multimédia Communication,voix audio synthèse vocale podcast narration,freemium,https://elevenlabs.io
Murf,Générateur de voix IA pour créer des narrations professionnelles dans de nombreuses langues,Multimédia Communication,voix audio narration présentation podcast,freemium,https://murf.ai
Otter AI,Outil de transcription automatique de réunions et conférences par IA,Tous,transcription réunion audio notes dictée,freemium,https://otter.ai
Whisper OpenAI,Système de reconnaissance vocale open source très précis pour transcrire l'audio,Tous,transcription audio dictée reconnaissance vocale,gratuit,https://openai.com/research/whisper
Descript,Outil d'édition audio et vidéo IA permettant de modifier le contenu par le texte,Multimédia Cinéma,audio vidéo édition transcription podcast,freemium,https://www.descript.com
Wolfram Alpha,Moteur de calcul computationnel pour résoudre des problèmes mathématiques et scientifiques,Mathématiques Sciences Ingénierie,calcul mathématiques équations données scientifiques,freemium,https://www.wolframalpha.com
Photomath,Application IA qui résout des problèmes de mathématiques photographiés,Mathématiques,mathématiques calcul résolution problèmes algèbre,freemium,https://photomath.com
Symbolab,Calculatrice mathématique IA avec étapes de résolution détaillées,Mathématiques Ingénierie,mathématiques calcul intégration dérivation algèbre,freemium,https://www.symbolab.com
GeoGebra AI,Outil mathématique interactif pour la géométrie l'algèbre et les statistiques,Mathématiques,géométrie algèbre graphiques mathématiques visualisation,gratuit,https://www.geogebra.org
Desmos,Calculatrice graphique en ligne pour visualiser des fonctions mathématiques,Mathématiques,graphiques fonctions mathématiques visualisation calcul,gratuit,https://www.desmos.com
Julius AI,Assistant IA spécialisé dans l'analyse de données et la création de graphiques,Informatique Sciences Économie,analyse données graphiques statistiques visualisation,freemium,https://julius.ai
Tableau Public,Outil de visualisation de données IA pour créer des tableaux de bord interactifs,Économie Informatique Sciences,visualisation données tableaux de bord analyse,freemium,https://public.tableau.com
Power BI,Outil Microsoft d'analyse et visualisation de données avec fonctionnalités IA,Économie Gestion Informatique,analyse données rapport visualisation business intelligence,freemium,https://powerbi.microsoft.com
Legalyze,Outil IA pour analyser des documents juridiques et contrats automatiquement,Droit,analyse contrats juridique documents droit,payant,https://legalyze.ai
Harvey AI,Assistant IA spécialisé pour les professionnels du droit et la recherche juridique,Droit,recherche juridique contrats analyse droit,payant,https://www.harvey.ai
Casetext,Outil de recherche juridique IA pour trouver des précédents et analyser des cas,Droit,recherche juridique loi précédents analyse cas,payant,https://casetext.com
Lexis Plus AI,Assistant de recherche juridique IA avec accès à une base de données juridique complète,Droit,recherche juridique loi réglementation analyse,payant,https://www.lexisnexis.com
Docusign AI,Outil IA pour analyser et gérer des contrats et documents juridiques,Droit Gestion,contrats documents signature analyse juridique,payant,https://www.docusign.com
Mendeley,Gestionnaire de références bibliographiques avec fonctionnalités IA pour la recherche,Recherche Médecine,références bibliographie articles citation gestion,gratuit,https://www.mendeley.com
Zotero,Gestionnaire de références open source pour collecter organiser et citer des sources,Recherche Tous,références bibliographie citation organisation sources,gratuit,https://www.zotero.org
Turnitin,Outil de détection de plagiat IA utilisé dans les établissements académiques,Tous,plagiat vérification originalité académique,payant,https://www.turnitin.com
iThenticate,Logiciel professionnel de détection de plagiat pour chercheurs et étudiants avancés,Recherche,plagiat vérification originalité recherche publication,payant,https://www.ithenticate.com
Gradescope,Outil IA pour la correction automatique de travaux et examens,Éducation,correction évaluation examen notation automatique,freemium,https://www.gradescope.com
Khanmigo,Tuteur IA de Khan Academy pour apprendre les mathématiques et les sciences,Mathématiques Sciences Éducation,apprentissage tuteur mathématiques sciences explication,freemium,https://www.khanacademy.org/khan-labs
Duolingo Max,Application d'apprentissage des langues avec tuteur IA pour conversations,Langues,apprentissage langues conversation traduction vocabulaire,freemium,https://www.duolingo.com
Speeko,Application IA pour améliorer les compétences en prise de parole et communication,Communication,communication discours présentation prise de parole,freemium,https://www.speeko.co
Beautiful AI,Outil de création de présentations professionnelles avec mise en forme IA automatique,Tous,présentation design slides communication visuel,freemium,https://www.beautiful.ai
Gamma,Outil IA pour créer des présentations et documents visuels en langage naturel,Tous,présentation slides document visuel communication,freemium,https://gamma.app
Tome,Outil de narration IA pour créer des présentations interactives et engageantes,Marketing Communication,présentation narration slides storytelling visuel,freemium,https://tome.app
STORYD,Outil IA pour transformer des données et idées en présentations narratives convaincantes,Marketing Communication,présentation données narration storytelling rapport,freemium,https://www.storyd.ai
Humata,Outil IA pour interroger analyser et résumer des documents PDF longs,Tous,PDF analyse résumé document question réponse,freemium,https://www.humata.ai
ChatPDF,Outil permettant de poser des questions sur le contenu d'un fichier PDF via IA,Tous,PDF lecture résumé question analyse document,freemium,https://www.chatpdf.com
Adobe Acrobat AI,Fonctionnalités IA d'Adobe pour résumer et interroger des documents PDF,Tous,PDF résumé analyse document signature,freemium,https://www.adobe.com/acrobat
Copyleaks,Détecteur de plagiat et de contenu généré par IA pour travaux académiques,Tous,plagiat détection originalité vérification IA,freemium,https://copyleaks.com
Originality AI,Outil de détection de contenu généré par IA et vérification du plagiat,Tous,plagiat détection IA originalité vérification,payant,https://originality.ai
Lumen5,Outil IA pour transformer des articles et textes en vidéos animées automatiquement,Marketing Communication Multimédia,vidéo création animation contenu marketing,freemium,https://lumen5.com
Pictory,Outil IA pour créer des vidéos courtes à partir de scripts et articles de blog,Marketing Communication,vidéo création contenu script marketing réseaux sociaux,freemium,https://pictory.ai
Durable,Constructeur de sites web IA qui crée un site complet en quelques secondes,Informatique Marketing,site web création design développement web,freemium,https://durable.co
Framer AI,Outil de conception de sites web avec génération automatique par IA,Informatique Design,site web design développement front-end création,freemium,https://www.framer.com
Wix ADI,Assistant de création de sites web IA de Wix pour les non-développeurs,Marketing Communication,site web création design non-technique,freemium,https://www.wix.com
DataRobot,Plateforme IA de machine learning automatisé pour créer des modèles prédictifs,Informatique Sciences,machine learning modèle données prédiction automatisé,payant,https://www.datarobot.com
H2O AutoML,Plateforme open source de machine learning automatisé pour l'analyse de données,Informatique Sciences,machine learning modèle données automatisé open source,gratuit,https://h2o.ai
Orange Data Mining,Outil visuel open source pour l'analyse de données et le machine learning,Informatique Sciences,données analyse machine learning visualisation open source,gratuit,https://orangedatamining.com
KNIME,Plateforme d'analyse de données et de machine learning avec interface visuelle,Informatique Sciences Économie,données analyse machine learning pipeline workflow,gratuit,https://www.knime.com
RapidMiner,Plateforme de data science avec fonctionnalités IA pour analyser des données,Informatique Sciences Économie,données analyse machine learning prédiction science des données,freemium,https://rapidminer.com
Hugging Face,Plateforme open source pour trouver utiliser et déployer des modèles IA NLP,Informatique,NLP modèles IA déploiement recherche open source,freemium,https://huggingface.co
Replicate,Plateforme pour exécuter des modèles IA dans le cloud via API,Informatique,modèles IA API déploiement cloud développement,freemium,https://replicate.com
Papers With Code,Plateforme qui lie les articles de recherche IA à leur code source implémenté,Informatique Recherche,recherche IA code implémentation machine learning,gratuit,https://paperswithcode.com
Liner,Outil IA de mise en évidence et annotation de pages web et PDF pour la recherche,Tous,recherche annotation surligneur organisation notes,freemium,https://getliner.com
Readwise,Outil IA pour mémoriser et organiser les meilleures idées de lectures et notes,Tous,lecture mémorisation organisation notes résumé,freemium,https://readwise.io
Anki AI,Application de mémorisation avec cartes mémoire adaptées par IA à l'apprentissage,Tous,mémorisation révision apprentissage cartes flashcards,gratuit,https://apps.ankiweb.net
Cram AI,Outil de création automatique de flashcards à partir de notes et cours par IA,Éducation,mémorisation flashcards révision apprentissage étude,freemium,https://www.cram.com
Bing Image Creator,Générateur d'images IA de Microsoft accessible gratuitement pour créer des visuels,Design Arts,image génération visuel illustration créativité,gratuit,https://www.bing.com/images/create
Ideogram,Générateur d'images IA spécialisé dans la création de texte dans les images,Design Marketing,image texte visuel affiche génération design,freemium,https://ideogram.ai
Leonardo AI,Plateforme de génération d'images IA pour jeux design et créativité,Design Architecture Jeux vidéo,image génération design créativité jeux visuels,freemium,https://leonardo.ai
Pika Labs,Outil IA de génération de vidéos courtes à partir de texte ou d'images,Cinéma Multimédia,vidéo génération animation création multimédia,freemium,https://pika.art
Suno AI,Générateur de musique IA pour créer des chansons complètes à partir d'une description,Arts Musique,musique génération création audio chanson composition,freemium,https://suno.ai
Udio,Outil IA pour générer de la musique originale de haute qualité par description textuelle,Arts Musique,musique génération création audio composition,freemium,https://www.udio.com
MusicLM Google,Modèle IA de Google pour générer de la musique à partir de descriptions textuelles,Arts Musique,musique génération audio création composition,gratuit,https://aitestkitchen.withgoogle.com
Lobe Chat,Interface open source pour accéder à plusieurs modèles IA via une seule application,Informatique,modèles IA interface chat développement open source,gratuit,https://lobechat.com
Open WebUI,Interface web open source pour faire tourner des modèles LLM localement,Informatique,modèles IA local open source développement déploiement,gratuit,https://openwebui.com
Ollama,Outil pour exécuter des modèles de langage IA en local sur son propre ordinateur,Informatique,modèles IA local open source développement vie privée,gratuit,https://ollama.ai
LM Studio,Application pour télécharger et exécuter des modèles LLM localement sans internet,Informatique,modèles IA local open source développement vie privée,gratuit,https://lmstudio.ai
